time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-11-12T05:59:44.532Z,-3.2606,123.3996,10,4.7,mb,31,68,2.291,0.72,us,us7000nrbk,2024-11-12T08:04:06.040Z,"126 km NE of Kendari, Indonesia",earthquake,3.27,1.897,0.127,19,reviewed,us,us
2024-11-11T23:56:24.328Z,55.7619,165.4283,10,4.9,mb,86,100,4.818,1.08,us,us7000nra5,2024-11-12T00:21:35.040Z,"191 km ESE of Ust’-Kamchatsk Staryy, Russia",earthquake,10.15,1.877,0.057,97,reviewed,us,us
2024-11-11T22:10:09.065Z,-20.4843,-177.7471,419.481,4.9,mb,103,82,4.816,0.76,us,us7000nr9k,2024-11-11T22:28:42.040Z,"265 km WNW of Houma, Tonga",earthquake,10.27,7.932,0.037,228,reviewed,us,us
2024-11-11T20:21:30.740Z,46.5685,153.8232,53.992,4.5,mb,45,138,7.175,0.67,us,us7000nr96,2024-11-11T20:53:09.040Z,"Kuril Islands",earthquake,12.52,8.254,0.083,43,reviewed,us,us
2024-11-11T13:35:30.742Z,-5.3993,125.8108,509.604,5,mb,127,26,4.17,0.92,us,us7000nr5i,2024-11-12T17:04:05.040Z,"Banda Sea",earthquake,9.57,5.944,0.043,179,reviewed,us,us
2024-11-11T11:50:57.399Z,30.8043,139.8547,187.988,4.9,mb,57,96,2.304,1.08,us,us7000nr5b,2024-11-11T12:32:37.040Z,"Izu Islands, Japan region",earthquake,8.83,7.206,0.059,90,reviewed,us,us
2024-11-11T10:16:58.633Z,20.2122,145.7557,41.918,5.6,mww,87,79,4.951,1.21,us,us7000nr4w,2024-11-12T10:19:15.587Z,"Maug Islands region, Northern Mariana Islands",earthquake,9.21,6.712,0.06,27,reviewed,us,us
2024-11-11T10:08:21.798Z,-4.9163,132.0383,24.08,4.9,mb,75,52,1.995,1.01,us,us7000nr4u,2024-11-11T10:41:44.040Z,"111 km NW of Tual, Indonesia",earthquake,6.73,3.845,0.097,57,reviewed,us,us
2024-11-11T07:14:57.929Z,-21.2294,-173.9119,10,5,mb,63,116,4.313,0.66,us,us7000nr49,2024-11-11T08:05:11.040Z,"109 km E of ‘Ohonua, Tonga",earthquake,10.01,1.862,0.073,59,reviewed,us,us
2024-11-11T05:06:27.145Z,-17.8176,167.9767,35,4.6,mb,16,201,4.422,0.55,us,us7000nr3r,2024-11-12T02:37:42.904Z,"36 km WSW of Port-Vila, Vanuatu",earthquake,13.54,1.924,0.151,13,reviewed,us,us
2024-11-11T04:02:55.746Z,-15.0663,-173.1794,10,5,mb,36,120,1.776,0.34,us,us7000nr3j,2024-11-12T06:26:31.040Z,"118 km NE of Hihifo, Tonga",earthquake,12.49,1.928,0.052,115,reviewed,us,us
2024-11-11T02:34:08.050Z,-14.8408,167.2613,123.788,4.7,mb,27,146,6.347,0.49,us,us7000nr37,2024-11-12T04:44:02.040Z,"30 km NE of Port-Olry, Vanuatu",earthquake,15.54,7.477,0.12,21,reviewed,us,us
2024-11-11T01:12:39.191Z,-6.9712,129.6563,127.087,4.9,mb,73,48,2.445,0.67,us,us7000nr2z,2024-11-12T04:20:55.040Z,"Banda Sea",earthquake,8.71,5.746,0.064,79,reviewed,us,us
2024-11-10T22:35:12.752Z,-4.9359,132.0684,10,5,mb,32,133,2.011,1.15,us,us7000nr2k,2024-11-10T22:46:40.040Z,"107 km NW of Tual, Indonesia",earthquake,3.68,1.874,0.115,24,reviewed,us,us
2024-11-10T22:10:04.756Z,-29.779,-69.4465,109.285,4.9,mb,70,40,0.596,0.99,us,us7000nr2d,2024-11-10T22:26:00.040Z,"84 km NW of San José de Jáchal, Argentina",earthquake,5.7,6.2,0.053,115,reviewed,us,us
2024-11-10T21:29:00.257Z,-4.9391,132.0305,10,4.9,mb,62,63,2.018,0.63,us,us7000nr2a,2024-11-10T22:15:47.040Z,"110 km NW of Tual, Indonesia",earthquake,6.79,1.813,0.071,62,reviewed,us,us
2024-11-10T20:55:16.326Z,48.9638,153.4229,151.442,4.5,mb,73,137,4.949,0.59,us,us7000nr26,2024-11-10T21:12:55.040Z,"272 km SW of Severo-Kuril’sk, Russia",earthquake,10.64,7.538,0.057,89,reviewed,us,us
2024-11-10T18:45:37.901Z,19.7783,-77.1332,15.315,4.6,mb,49,83,0.704,0.75,us,us7000nr1g,2024-11-17T01:49:16.556Z,"47 km SSW of Bartolomé Masó, Cuba",earthquake,4.49,4.681,0.066,69,reviewed,us,us
2024-11-10T17:53:19.081Z,-19.1,169.5187,286.66,4.6,mb,44,118,3.996,0.84,us,us7000nr10,2024-11-10T18:10:31.040Z,"54 km NNE of Isangel, Vanuatu",earthquake,11.85,8.203,0.056,95,reviewed,us,us
2024-11-10T17:23:31.685Z,-24.3444,-69.3494,95.902,4.5,mb,28,94,0.843,1.17,us,us7000nr0y,2024-11-10T17:43:22.040Z,"131 km SE of Antofagasta, Chile",earthquake,4.67,6.51,0.14,15,reviewed,us,us
2024-11-10T16:49:50.382Z,19.8116,-77.0391,14,6.8,mww,87,25,0.61,0.89,us,us7000nr0v,2024-11-17T01:36:29.648Z,"40 km SSW of Bartolomé Masó, Cuba",earthquake,2.61,1.655,0.032,94,reviewed,us,us
2024-11-10T16:28:29.547Z,-19.5596,-175.5929,217.958,4.6,mb,32,102,5.372,1.17,us,us7000nr0q,2024-11-10T16:42:56.040Z,"132 km WNW of Pangai, Tonga",earthquake,12.5,9.026,0.092,35,reviewed,us,us
2024-11-10T15:50:02.566Z,19.8523,-76.8901,14.219,5.9,mww,64,58,0.464,0.82,us,us7000nr0n,2024-11-17T01:34:18.911Z,"35 km S of Bartolomé Masó, Cuba",earthquake,3.94,5.292,0.048,41,reviewed,us,us
2024-11-10T15:46:59.031Z,-30.4474,-177.8097,36.161,5.2,mb,40,113,1.185,1.1,us,us7000nr0k,2024-11-10T16:06:43.040Z,"Kermadec Islands, New Zealand",earthquake,9.4,7.437,0.082,49,reviewed,us,us
2024-11-10T14:57:45.963Z,25.7293,143.1985,43.975,4.7,mb,27,196,1.637,0.86,us,us7000nr0g,2024-11-10T15:17:19.040Z,"Volcano Islands, Japan region",earthquake,14.33,6.858,0.101,30,reviewed,us,us
2024-11-10T09:43:23.356Z,-20.7634,-178.5388,590.905,4.9,mb,77,47,4.402,0.75,us,us7000nqzm,2024-11-10T10:00:02.040Z,"Fiji region",earthquake,12.17,8.344,0.03,352,reviewed,us,us
2024-11-10T08:27:01.372Z,-16.0484,-172.1996,10,4.9,mb,35,89,2.165,1.18,us,us7000nqz1,2024-11-10T09:10:57.040Z,"171 km E of Hihifo, Tonga",earthquake,8.93,1.856,0.114,24,reviewed,us,us
2024-11-10T05:13:22.823Z,25.6555,142.824,10,4.9,mb,60,121,1.545,1.03,us,us7000nqy6,2024-11-10T05:39:45.040Z,"Volcano Islands, Japan region",earthquake,10.29,1.892,0.06,93,reviewed,us,us
2024-11-10T00:48:32.393Z,-22.5316,-174.7861,10,4.7,mb,22,157,1.41,0.64,us,us7000nqxm,2024-11-11T04:52:50.873Z,"132 km S of ‘Ohonua, Tonga",earthquake,19.05,1.935,0.142,15,reviewed,us,us
2024-11-09T21:20:41.874Z,-4.7705,137.7972,15.891,4.9,mb,47,64,3.665,0.43,us,us7000nqx9,2024-11-11T04:00:42.040Z,"93 km NNW of Agats, Indonesia",earthquake,8.89,4.454,0.069,65,reviewed,us,us
2024-11-09T20:37:51.040Z,45.3885,98.7827,10,5,mb,65,46,5.786,0.57,us,us7000nqx5,2024-11-10T14:55:16.865Z,"175 km WSW of Bayanhongor, Mongolia",earthquake,9.57,1.873,0.046,152,reviewed,us,us
2024-11-09T19:30:18.770Z,7.4968,-82.3955,10,5.8,mww,83,135,1.945,0.69,us,us7000nqwx,2024-11-17T01:19:06.520Z,"79 km SE of Burica, Panama",earthquake,6.91,1.87,0.044,50,reviewed,us,us
2024-11-09T19:17:07.885Z,-24.2568,178.8975,536.904,4.7,mb,62,72,5.739,0.93,us,us7000nqwt,2024-11-09T19:34:58.040Z,"south of the Fiji Islands",earthquake,11.21,8.196,0.043,162,reviewed,us,us
2024-11-09T19:08:50.647Z,-8.0523,162.6312,10,4.9,mb,42,106,2.989,0.85,us,us7000nqws,2024-11-09T21:52:14.040Z,"227 km ENE of Auki, Solomon Islands",earthquake,11.06,1.861,0.054,110,reviewed,us,us
2024-11-09T18:48:57.404Z,56.3628,-34.0215,10,4.7,mb,127,67,8.798,0.67,us,us7000nqwr,2024-11-09T19:43:48.040Z,"Reykjanes Ridge",earthquake,8.9,1.839,0.04,193,reviewed,us,us
2024-11-09T15:52:15.204Z,31.081,131.3899,44.434,4.5,mb,80,104,0.909,1.07,us,us7000nqwe,2024-11-09T16:21:14.040Z,"47 km SSE of Kushima, Japan",earthquake,5.55,5.404,0.073,61,reviewed,us,us
2024-11-09T15:17:53.819Z,25.6202,142.3968,58.273,4.9,mb,102,101,1.482,0.71,us,us7000nqwb,2024-11-09T15:54:28.040Z,"Volcano Islands, Japan region",earthquake,10.06,6.801,0.054,109,reviewed,us,us
2024-11-09T14:47:24.211Z,25.2691,142.7583,52.863,4.7,mb,33,123,1.891,0.82,us,us7000nqw9,2024-11-09T15:08:22.040Z,"Volcano Islands, Japan region",earthquake,13.36,7.259,0.063,75,reviewed,us,us
2024-11-09T14:13:16.496Z,-30.2437,-177.0195,10,4.6,mb,22,139,1.253,0.45,us,us7000nqw4,2024-11-09T14:29:49.040Z,"Kermadec Islands, New Zealand",earthquake,13.49,1.923,0.123,20,reviewed,us,us
2024-11-09T13:45:33.091Z,-25.6414,-13.8292,10,5.1,mb,47,69,26.223,0.56,us,us7000nqw0,2024-11-09T14:02:29.040Z,"southern Mid-Atlantic Ridge",earthquake,8.88,1.884,0.082,49,reviewed,us,us
2024-11-09T11:04:02.567Z,7.6037,-82.485,10,4.5,mb,50,141,1.812,0.58,us,us7000nqvb,2024-11-10T05:48:02.040Z,"63 km SE of Burica, Panama",earthquake,7.69,1.92,0.094,33,reviewed,us,us
2024-11-09T10:15:46.730Z,19.6238,-65.3376,74,4.68,md,29,223,1.3247,0.36,pr,pr2024314000,2024-11-17T01:47:05.357Z,"142 km NNE of Vieques, Puerto Rico",earthquake,3.01,8.109,0.08,26,reviewed,pr,pr
2024-11-09T10:03:40.677Z,7.4811,-82.4229,10,5.6,mww,71,144,1.948,0.76,us,us7000nqv1,2024-11-17T01:18:42.159Z,"78 km SE of Burica, Panama",earthquake,7.79,1.882,0.044,49,reviewed,us,us
2024-11-09T08:22:20.177Z,-19.786,-175.3375,219.192,4.7,mb,27,101,5.154,0.99,us,us7000nquv,2024-11-09T08:38:15.040Z,"103 km W of Pangai, Tonga",earthquake,14.66,13.688,0.117,22,reviewed,us,us
2024-11-09T07:57:08.635Z,-0.9121,134.4599,59.375,4.6,mb,29,77,2.976,0.51,us,us7000nqur,2024-11-09T08:16:19.040Z,"44 km E of Manokwari, Indonesia",earthquake,8.61,7.791,0.103,28,reviewed,us,us
2024-11-09T05:00:39.929Z,32.308,142.4566,10,5,mb,69,98,2.369,0.8,us,us7000nquf,2024-11-09T05:24:59.040Z,"Izu Islands, Japan region",earthquake,7.91,1.854,0.041,196,reviewed,us,us
